review_id,review_date,card_id,jlpt_level,review_stage,response_seconds,is_correct
1,2026-01-01,17983,N2,learning,27,0
2,2026-01-01,63581,N3,young,28,0
3,2026-01-01,82745,N3,learning,28,1
4,2026-01-01,82755,N4,mature,10,1
5,2026-01-01,95035,N5,mature,11,1
6,2026-01-01,86067,N2,mature,20,1
7,2026-01-01,86037,N3,new,20,0
8,2026-01-01,28907,N3,learning,18,1
9,2026-01-01,42883,N4,mature,9,1
10,2026-01-01,53720,N2,young,6,1
11,2026-01-01,80976,N4,mature,26,1
12,2026-01-01,26015,N2,learning,28,1
13,2026-01-01,55729,N2,new,7,1
14,2026-01-01,15597,N4,young,12,1
15,2026-01-01,11962,N2,young,25,1
16,2026-01-01,83664,N4,new,18,1
17,2026-01-01,72227,N4,young,16,1
18,2026-01-01,18541,N3,mature,20,1
19,2026-01-01,11664,N4,new,17,0
20,2026-01-01,56398,N3,new,17,1
21,2026-01-01,46352,N2,young,2,0
22,2026-01-01,25251,N3,mature,11,1
23,2026-01-01,37165,N3,young,19,1
24,2026-01-01,93065,N4,mature,12,1
25,2026-01-01,89728,N3,young,12,1
26,2026-01-01,59431,N3,learning,7,1
27,2026-01-01,38631,N4,mature,7,1
28,2026-01-01,15621,N2,young,8,1
29,2026-01-01,97395,N3,new,3,1
30,2026-01-01,24314,N3,young,10,1
31,2026-01-01,68763,N4,learning,14,1
32,2026-01-01,85667,N2,learning,26,1
33,2026-01-01,21252,N3,mature,22,1
34,2026-01-01,92217,N3,mature,4,1
35,2026-01-01,99221,N3,new,10,1
36,2026-01-01,67859,N4,mature,10,1
37,2026-01-01,15932,N4,learning,4,1
38,2026-01-01,35267,N5,mature,11,1
39,2026-01-01,25639,N4,mature,27,1
40,2026-01-01,18569,N3,young,5,1
41,2026-01-01,32357,N4,young,2,1
42,2026-01-01,40009,N4,young,25,1
43,2026-01-01,52417,N4,mature,13,1
44,2026-01-01,35427,N3,young,4,1
45,2026-01-01,52836,N2,young,20,1
46,2026-01-01,12468,N3,young,2,1
47,2026-01-01,45197,N3,mature,9,1
48,2026-01-01,97542,N5,learning,13,1
49,2026-01-01,63031,N3,mature,13,1
50,2026-01-01,16191,N5,young,23,1
51,2026-01-01,99625,N4,new,21,1
52,2026-01-01,47268,N2,learning,14,0
53,2026-01-01,32344,N4,young,15,1
54,2026-01-01,14454,N4,mature,27,1
55,2026-01-01,36426,N4,mature,4,1
56,2026-01-01,21191,N4,learning,8,1
57,2026-01-01,36400,N4,learning,18,1
58,2026-01-01,95188,N5,young,9,1
59,2026-01-01,40127,N2,young,10,1
60,2026-01-01,74236,N3,young,15,1
61,2026-01-01,83513,N4,young,24,0
62,2026-01-01,40653,N3,learning,25,1
63,2026-01-01,93315,N4,mature,17,1
64,2026-01-01,19855,N2,learning,13,1
65,2026-01-01,57847,N4,young,24,1
66,2026-01-01,21583,N4,mature,8,1
67,2026-01-01,41263,N5,new,9,1
68,2026-01-01,78302,N5,mature,16,1
69,2026-01-01,88361,N4,young,2,1
70,2026-01-01,42882,N3,mature,18,1
71,2026-01-01,42529,N5,mature,20,1
72,2026-01-01,79610,N3,new,18,0
73,2026-01-01,88870,N3,young,22,1
74,2026-01-01,17584,N2,young,26,1
75,2026-01-01,34095,N4,mature,27,1
76,2026-01-01,65797,N2,learning,20,1
77,2026-01-01,65278,N3,learning,20,1
78,2026-01-01,32850,N4,mature,3,1
79,2026-01-01,64306,N3,mature,5,1
80,2026-01-01,98084,N5,young,28,1
81,2026-01-01,16813,N2,learning,28,0
82,2026-01-01,99020,N3,new,20,1
83,2026-01-01,46300,N3,mature,24,0
84,2026-01-01,10114,N2,young,10,1
85,2026-01-01,30769,N4,mature,3,0
86,2026-01-01,47351,N4,young,19,1
87,2026-01-01,38058,N3,young,28,1
88,2026-01-01,19204,N3,young,17,0
89,2026-01-01,69257,N2,learning,16,0
90,2026-01-01,34672,N5,young,21,1
91,2026-01-02,63430,N3,mature,19,1
92,2026-01-02,72195,N3,young,11,1
93,2026-01-02,94464,N3,young,9,0
94,2026-01-02,41940,N3,mature,23,1
95,2026-01-02,64589,N3,mature,26,1
96,2026-01-02,39023,N2,learning,12,1
97,2026-01-02,78757,N3,young,13,1
98,2026-01-02,54459,N3,learning,18,1
99,2026-01-02,77247,N5,mature,24,1
100,2026-01-02,84130,N4,young,7,1
101,2026-01-02,14919,N3,mature,11,1
102,2026-01-02,56059,N4,new,28,0
103,2026-01-02,25799,N3,new,17,0
104,2026-01-02,87032,N4,young,19,1
105,2026-01-02,24211,N5,young,25,1
106,2026-01-02,37305,N4,mature,26,1
107,2026-01-02,76575,N4,learning,28,1
108,2026-01-02,43483,N5,learning,4,1
109,2026-01-02,81948,N3,mature,2,1
110,2026-01-02,25744,N3,young,2,1
111,2026-01-02,87802,N2,learning,16,0
112,2026-01-02,75855,N5,young,8,1
113,2026-01-02,26764,N4,learning,21,1
114,2026-01-02,58122,N4,young,20,1
115,2026-01-02,62892,N3,new,13,1
116,2026-01-02,78344,N3,young,14,1
117,2026-01-02,11409,N4,new,23,0
118,2026-01-02,10417,N3,mature,27,1
119,2026-01-02,51228,N5,mature,17,1
120,2026-01-02,47204,N3,mature,5,1
121,2026-01-02,66569,N3,mature,14,1
122,2026-01-02,98348,N3,mature,4,1
123,2026-01-02,59606,N4,new,14,1
124,2026-01-02,59089,N3,learning,14,1
125,2026-01-02,21091,N3,learning,11,1
126,2026-01-02,60733,N2,mature,21,0
127,2026-01-02,57440,N4,young,10,1
128,2026-01-02,45169,N5,young,26,0
129,2026-01-02,40863,N3,young,18,1
130,2026-01-02,87177,N2,young,15,1
131,2026-01-02,99850,N3,new,5,1
132,2026-01-02,14744,N2,young,11,1
133,2026-01-02,39236,N3,learning,11,1
134,2026-01-02,61162,N4,learning,5,0
135,2026-01-02,90277,N2,mature,3,0
136,2026-01-02,89603,N4,mature,8,1
137,2026-01-02,48575,N3,mature,8,0
138,2026-01-02,35860,N5,learning,10,0
139,2026-01-02,67609,N3,young,21,1
140,2026-01-02,34318,N5,new,12,1
141,2026-01-02,83009,N2,mature,17,1
142,2026-01-02,37491,N4,young,15,1
143,2026-01-02,67941,N2,mature,24,1
144,2026-01-02,16895,N3,learning,11,1
145,2026-01-02,59760,N3,young,17,1
146,2026-01-02,94378,N2,mature,8,1
147,2026-01-02,88836,N3,learning,14,1
148,2026-01-02,71820,N3,young,12,1
149,2026-01-02,27325,N3,mature,2,1
150,2026-01-02,13134,N4,learning,7,1
151,2026-01-02,49077,N3,mature,8,1
152,2026-01-02,87071,N3,learning,16,1
153,2026-01-02,98485,N4,learning,14,1
154,2026-01-02,65893,N4,young,28,1
155,2026-01-02,11069,N2,young,18,0
156,2026-01-02,20317,N3,learning,11,1
157,2026-01-02,15003,N3,young,25,1
158,2026-01-02,46890,N3,young,27,1
159,2026-01-02,16985,N3,learning,16,1
160,2026-01-02,29734,N4,young,17,1
161,2026-01-02,43101,N5,young,16,1
162,2026-01-02,17184,N4,young,16,1
163,2026-01-02,90078,N5,young,5,1
164,2026-01-02,68829,N3,new,19,1
165,2026-01-02,39935,N3,mature,12,1
166,2026-01-02,25092,N2,young,23,0
167,2026-01-02,80115,N3,young,17,1
168,2026-01-03,13853,N2,young,5,1
169,2026-01-03,88725,N3,young,22,1
170,2026-01-03,69224,N4,mature,28,1
171,2026-01-03,49908,N2,mature,26,1
172,2026-01-03,72809,N3,learning,26,1
173,2026-01-03,63265,N3,learning,25,1
174,2026-01-03,19175,N2,young,14,0
175,2026-01-03,61423,N2,mature,8,1
176,2026-01-03,35936,N4,new,6,0
177,2026-01-03,90605,N3,young,18,1
178,2026-01-03,61970,N5,learning,13,1
179,2026-01-03,13973,N4,young,26,1
180,2026-01-03,42564,N3,learning,28,1
181,2026-01-03,23524,N3,young,6,1
182,2026-01-03,80893,N3,learning,22,1
183,2026-01-03,79604,N5,learning,21,1
184,2026-01-03,79813,N4,young,2,0
185,2026-01-03,12461,N2,young,13,1
186,2026-01-03,92966,N3,new,13,1
187,2026-01-03,15168,N3,young,3,0
188,2026-01-03,34660,N3,mature,4,1
189,2026-01-03,11911,N4,mature,10,1
190,2026-01-03,69791,N4,young,12,1
191,2026-01-03,70577,N4,mature,15,1
192,2026-01-03,32879,N2,learning,17,1
193,2026-01-03,84792,N2,mature,25,0
194,2026-01-03,53086,N2,learning,15,0
195,2026-01-03,12611,N3,mature,4,1
196,2026-01-03,61608,N4,young,14,1
197,2026-01-03,32970,N2,mature,20,0
198,2026-01-03,16953,N2,mature,25,1
199,2026-01-03,80075,N5,learning,11,1
200,2026-01-03,73810,N3,mature,9,1
201,2026-01-03,28422,N3,young,8,1
202,2026-01-03,57448,N2,young,11,1
203,2026-01-04,18068,N4,mature,9,1
204,2026-01-04,63917,N3,mature,16,1
205,2026-01-04,16789,N3,young,4,0
206,2026-01-04,90956,N2,mature,7,1
207,2026-01-04,49331,N3,young,23,1
208,2026-01-04,93967,N4,learning,10,0
209,2026-01-04,66331,N4,mature,6,1
210,2026-01-04,94740,N3,mature,2,1
211,2026-01-04,42513,N2,learning,27,0
212,2026-01-04,69587,N3,mature,27,1
213,2026-01-04,43726,N5,mature,26,1
214,2026-01-04,75927,N3,young,25,1
215,2026-01-04,28160,N3,mature,23,1
216,2026-01-04,51322,N2,mature,26,1
217,2026-01-04,17793,N3,new,14,1
218,2026-01-04,24240,N3,young,5,1
219,2026-01-04,87577,N2,young,16,1
220,2026-01-04,10138,N3,young,9,1
221,2026-01-04,39871,N3,young,26,1
222,2026-01-04,26739,N4,mature,19,1
223,2026-01-04,18019,N4,mature,20,0
224,2026-01-04,37617,N2,mature,5,1
225,2026-01-04,71888,N2,new,19,1
226,2026-01-04,99724,N5,mature,8,1
227,2026-01-04,45594,N2,learning,22,0
228,2026-01-04,91625,N3,mature,7,1
